# <defaultcodec>utf-8</defaultcodec>
Statistic export
Line 1: Line strain (technical) [%], Line 2: Line strain (technical) [%], Line 3: Line strain (technical) [%], Time [s], areaGB1 (Average): Epsilon X [%], areaGB1 (Maximum): Epsilon X [%], areaGB1 (Minimum): Epsilon X [%], areaGB1 (Points): Epsilon X, areaGB1 (Sigma): Epsilon X [%]
-5.30376378e-01, -5.26933444e-01, -3.38114723e-01, 1.19994356e+02, 3.46664760e-01, 3.92950201e+00, -1.35176253e+00, 1.00800000e+03, 6.79849630e-01
-5.38216672e-01, -5.35023356e-01, -3.56304700e-01, 1.20998190e+02, 3.52364263e-01, 3.93921638e+00, -1.40484571e+00, 1.00900000e+03, 6.92894827e-01
-5.36111219e-01, -5.38978759e-01, -3.49284309e-01, 1.21997204e+02, 3.57352309e-01, 3.94133496e+00, -1.52128851e+00, 1.00600000e+03, 7.02899129e-01
-5.54548822e-01, -5.59043502e-01, -3.78445949e-01, 1.23004113e+02, 3.59397404e-01, 4.03803587e+00, -1.31797481e+00, 1.00900000e+03, 7.07139925e-01
-5.51098941e-01, -5.52862927e-01, -3.62902958e-01, 1.24001184e+02, 3.67820672e-01, 4.05455542e+00, -1.19620359e+00, 1.00800000e+03, 7.07963478e-01
-5.72929407e-01, -5.74192788e-01, -3.82172879e-01, 1.24997345e+02, 3.70881986e-01, 4.11146784e+00, -1.32645798e+00, 1.00900000e+03, 7.19908504e-01
-5.71455020e-01, -5.72840765e-01, -3.71296436e-01, 1.26000026e+02, 3.79706453e-01, 4.19456959e+00, -1.08771014e+00, 1.00800000e+03, 7.24430639e-01
-5.76900276e-01, -5.80996002e-01, -3.80245246e-01, 1.27000007e+02, 3.81240782e-01, 4.20631361e+00, -1.19332027e+00, 1.00800000e+03, 7.31417089e-01
-5.91963746e-01, -5.81012442e-01, -3.77524194e-01, 1.27999174e+02, 3.81289045e-01, 4.20294428e+00, -1.28184032e+00, 1.00900000e+03, 7.37503065e-01
-5.99777758e-01, -5.95005893e-01, -3.87150040e-01, 1.28995262e+02, 3.85290503e-01, 4.26280403e+00, -1.24837649e+00, 1.00800000e+03, 7.34842861e-01
-6.12174228e-01, -6.06285787e-01, -3.94187148e-01, 1.30003203e+02, 3.91930533e-01, 4.25910521e+00, -1.32194841e+00, 1.00900000e+03, 7.36222925e-01
-6.20849211e-01, -6.23383465e-01, -3.92592694e-01, 1.30998175e+02, 3.94989376e-01, 4.27055502e+00, -9.73461151e-01, 1.00900000e+03, 7.37090912e-01
-6.24384645e-01, -6.08539835e-01, -4.16045458e-01, 1.32003940e+02, 3.99304731e-01, 4.36010885e+00, -1.39220846e+00, 1.00900000e+03, 7.48415468e-01
-6.38195865e-01, -6.36065242e-01, -4.05877443e-01, 1.32998248e+02, 4.03955584e-01, 4.37043047e+00, -1.29481697e+00, 1.00900000e+03, 7.47247703e-01
-6.43192284e-01, -6.51436116e-01, -4.23356564e-01, 1.33997247e+02, 4.08416245e-01, 4.41866493e+00, -1.44238257e+00, 1.00900000e+03, 7.59193423e-01
-6.50958921e-01, -6.57385757e-01, -4.20323190e-01, 1.35002106e+02, 4.08868518e-01, 4.38675690e+00, -1.44103158e+00, 1.00900000e+03, 7.57410202e-01
-6.59262984e-01, -6.64253134e-01, -4.31906004e-01, 1.36001177e+02, 4.16780361e-01, 4.46625757e+00, -1.36469185e+00, 1.00900000e+03, 7.60517983e-01
